37 PS,2164,2164,2166,2166,2180,2180,2195,2195,6101,6101,
0.035,0.04,0.034,0.035,0.036,0.041,0.045,0.037,0.036,0.038,0.038,0.046
0.036,0.594,0.854,0.482,0.501,0.173,0.408,0.499,0.842,2.782,3.414,0.071
0.038,0.833,0.719,0.276,0.462,0.124,0.159,0.471,0.726,2.653,3.21,0.093
0.036,0.995,0.748,0.421,0.379,0.226,0.237,0.393,0.736,2.721,3.149,0.077
0.038,0.809,1.036,0.412,0.446,0.218,0.219,0.478,0.716,1.965,3.449,0.072
0.038,0.809,0.973,0.47,0.587,0.299,0.325,0.441,0.419,1.023,3.069,0.068
0.036,1.371,1.478,0.57,0.919,0.811,0.601,0.487,0.598,3.09,3.052,0.067
0.037,0.039,0.037,0.039,0.043,0.038,0.038,0.038,0.037,0.036,0.036,0.044
37 PS,2197,2197,2198,2198,2202,2202,2209,2209,2210,2210,
0.034,0.034,0.033,0.037,0.035,0.036,0.039,0.037,0.037,0.032,0.034,0.033
0.035,0.175,0.256,0.486,0.822,0.603,0.393,0.296,0.258,0.279,0.19,0.062
0.035,0.13,0.226,0.622,0.588,0.514,0.331,0.23,0.233,0.271,0.219,0.063
0.037,0.171,0.209,0.543,0.596,0.443,0.292,0.184,0.179,0.156,0.162,0.067
0.036,0.181,0.141,0.496,0.568,0.307,0.394,0.188,0.145,0.365,0.156,0.077
0.036,0.131,0.135,0.623,0.487,0.341,0.47,0.263,0.142,0.384,0.184,0.065
0.038,0.133,0.325,0.516,0.587,0.54,0.363,0.332,0.379,0.25,0.158,0.063
0.041,0.035,0.037,0.038,0.038,0.039,0.037,0.047,0.036,0.035,0.036,0.039
37 PS,2221,2221,2225,2225,2226,2226,2251,2251,2272,2272,
0.038,0.041,0.037,0.039,0.038,0.043,0.037,0.036,0.038,0.034,0.035,0.035
0.04,0.211,0.248,0.313,0.35,0.116,0.319,0.259,0.282,0.317,0.372,0.128
0.041,0.134,0.155,0.422,0.378,0.156,0.128,0.114,0.135,0.162,0.193,0.081
0.046,0.135,0.127,0.245,0.267,0.121,0.15,0.184,0.203,0.219,0.243,0.076
0.044,0.138,0.267,0.355,0.212,0.126,1.07,0.226,0.182,0.302,0.238,0.08
0.043,0.173,0.362,0.338,0.237,0.175,1.198,0.27,0.243,0.314,0.393,0.064
0.04,0.997,0.96,0.504,0.468,0.323,1.018,0.418,0.495,0.345,0.466,0.073
0.039,0.044,0.04,0.042,0.037,0.054,0.04,0.038,0.037,0.038,0.034,0.036
37 PS,2283,2283,2319,2319,2323,2323,2493,2493,2520,2520,
0.039,0.036,0.036,0.036,0.037,0.045,0.036,0.038,0.036,0.039,0.042,0.039
0.039,0.371,0.448,0.303,0.372,0.233,0.273,0.319,0.354,0.392,0.268,0.071
